,user,project_name,namespace,url
342,Galvant,InstrumentKit,instruments/tests/test_thorlabs/test_thorlabs_apt.py,https://github.com/Galvant/InstrumentKit
218,Galvant,InstrumentKit,instruments/tests/test_named_struct.py,https://github.com/Galvant/InstrumentKit
2218,Galvant,InstrumentKit,instruments/tests/test_yokogawa/test_yokogawa_6370.py,https://github.com/Galvant/InstrumentKit
1919,Galvant,InstrumentKit,instruments/tests/test_agilent/test_agilent_33220a.py,https://github.com/Galvant/InstrumentKit
1135,Galvant,InstrumentKit,instruments/tests/test_tektronix/test_tktds5xx.py,https://github.com/Galvant/InstrumentKit
1604,Galvant,InstrumentKit,instruments/tests/test_thorlabs/test_thorlabs_pm100usb.py,https://github.com/Galvant/InstrumentKit
1254,Galvant,InstrumentKit,instruments/tests/test_tektronix/test_tekdpo4104.py,https://github.com/Galvant/InstrumentKit
1670,Galvant,InstrumentKit,instruments/tests/test_newport/test_newportesp301.py,https://github.com/Galvant/InstrumentKit
1461,Galvant,InstrumentKit,instruments/tests/test_tektronix/test_tekawg2000.py,https://github.com/Galvant/InstrumentKit
1231,Galvant,InstrumentKit,instruments/tests/test_keithley/test_keithley195.py,https://github.com/Galvant/InstrumentKit
1928,GoLP-IST,nata,tests/conftest.py,https://github.com/GoLP-IST/nata
1250,GoLP-IST,nata,tests/strategies.py,https://github.com/GoLP-IST/nata
1669,GridTools,gt4py,tests/test_unittest/test_gtc/test_dace_utils.py,https://github.com/GridTools/gt4py
460,GridTools,gt4py,tests/conftest.py,https://github.com/GridTools/gt4py
722,GridTools,gt4py,src/gt4py/testing/input_strategies.py,https://github.com/GridTools/gt4py
1323,GridTools,gt4py,tests/test_unittest/test_storage.py,https://github.com/GridTools/gt4py
704,GridTools,gt4py,src/gt4py/testing/suites.py,https://github.com/GridTools/gt4py
2063,GridTools,gt4py,tests/test_integration/test_cpp_regression.py,https://github.com/GridTools/gt4py
611,GridTools,gt4py,tests/test_unittest/test_exec_info.py,https://github.com/GridTools/gt4py
1594,HPAC,matchpy,tests/test_matching_native.py,https://github.com/HPAC/matchpy
1592,HPAC,linnea,tests/test_transformations.py,https://github.com/HPAC/linnea
1663,HPAC,matchpy,tests/test_utils.py,https://github.com/HPAC/matchpy
1492,HPAC,matchpy,tests/test_functions.py,https://github.com/HPAC/matchpy
1366,HPAC,matchpy,tests/test_matching.py,https://github.com/HPAC/matchpy
992,HPAC,linnea,tests/generate.py,https://github.com/HPAC/linnea
1055,HPAC,matchpy,tests/test_syntactic.py,https://github.com/HPAC/matchpy
194,HPAC,matchpy,tests/test_bipartite.py,https://github.com/HPAC/matchpy
1549,Harmon758,Harmonbot,tests/test_time.py,https://github.com/Harmon758/Harmonbot
955,Harmon758,Harmonbot,tests/test_cryptography.py,https://github.com/Harmon758/Harmonbot
1907,Harmon758,Harmonbot,tests/test_calculation.py,https://github.com/Harmon758/Harmonbot
129,Harmon758,Harmonbot,tests/test_location.py,https://github.com/Harmon758/Harmonbot
1192,HumanCompatibleAI,evaluating-rewards,tests/test_rewards.py,https://github.com/HumanCompatibleAI/evaluating-rewards
1477,HumanCompatibleAI,evaluating-rewards,tests/test_tabular.py,https://github.com/HumanCompatibleAI/evaluating-rewards
849,IQTLabs,squiggle,tests/test_yau_bp.py,https://github.com/IQTLabs/squiggle
595,IQTLabs,squiggle,tests/test_yau.py,https://github.com/IQTLabs/squiggle
1541,IQTLabs,squiggle,tests/test_randic_and_qi.py,https://github.com/IQTLabs/squiggle
27,IQTLabs,squiggle,tests/test_gates.py,https://github.com/IQTLabs/squiggle
577,IQTLabs,squiggle,tests/test_squiggle.py,https://github.com/IQTLabs/squiggle
1573,ImperialNLP,pysimt,pysimt/metrics/multibleu.py,https://github.com/ImperialNLP/pysimt
316,ImperialNLP,pysimt,pysimt/metrics/sacrebleu.py,https://github.com/ImperialNLP/pysimt
1994,Instagram,LibCST,libcst/tests/test_fuzz.py,https://github.com/Instagram/LibCST
1997,IntelPython,dpnp,tests/third_party/cupy/random_tests/test_sample.py,https://github.com/IntelPython/dpnp
766,InvestmentSystems,static-frame,static_frame/test/property/test_type_blocks.py,https://github.com/InvestmentSystems/static-frame
1172,InvestmentSystems,static-frame,static_frame/test/property/test_index_hierarchy.py,https://github.com/InvestmentSystems/static-frame
1974,InvestmentSystems,static-frame,static_frame/test/property/test_util.py,https://github.com/InvestmentSystems/static-frame
2037,InvestmentSystems,static-frame,static_frame/test/property/test_rank.py,https://github.com/InvestmentSystems/static-frame
1313,InvestmentSystems,static-frame,static_frame/test/property/strategies.py,https://github.com/InvestmentSystems/static-frame
928,InvestmentSystems,static-frame,static_frame/test/property/test_frame.py,https://github.com/InvestmentSystems/static-frame
1568,InvestmentSystems,static-frame,static_frame/test/property/test_index.py,https://github.com/InvestmentSystems/static-frame
1606,InvestmentSystems,static-frame,static_frame/test/property/test_series.py,https://github.com/InvestmentSystems/static-frame
1196,InvestmentSystems,static-frame,static_frame/test/property/test_strategies.py,https://github.com/InvestmentSystems/static-frame
1989,IshitaTakeshi,Tadataka,examples/semi_dense_vo.py,https://github.com/IshitaTakeshi/Tadataka
1139,IshitaTakeshi,Tadataka,examples/estimate_depth_from_stereo.py,https://github.com/IshitaTakeshi/Tadataka
1936,JDASoftwareGroup,kartothek,tests/core/test_index.py,https://github.com/JDASoftwareGroup/kartothek
2081,JDASoftwareGroup,kartothek,kartothek/io/testing/query_cube.py,https://github.com/JDASoftwareGroup/kartothek
995,JDASoftwareGroup,kartothek,kartothek/core/testing.py,https://github.com/JDASoftwareGroup/kartothek
2033,JNRowe,pyisbn,tests/test_sbn.py,https://github.com/JNRowe/pyisbn
332,JNRowe,pyisbn,tests/test_isbn13.py,https://github.com/JNRowe/pyisbn
1529,JNRowe,pyisbn,tests/test_isbn10.py,https://github.com/JNRowe/pyisbn
1649,JNRowe,pyisbn,tests/test_isbn.py,https://github.com/JNRowe/pyisbn
1345,JNRowe,pyisbn,tests/test_functions.py,https://github.com/JNRowe/pyisbn
778,JSybrandt,agatha,agatha/ml/hypothesis_predictor/__main__.py,https://github.com/JSybrandt/agatha
327,JSybrandt,agatha,agatha/ml/hypothesis_predictor/__init__.py,https://github.com/JSybrandt/agatha
972,JSybrandt,agatha,code_cell:2,https://github.com/JSybrandt/agatha
781,JSybrandt,agatha,agatha/topic_query/__main__.py,https://github.com/JSybrandt/agatha
180,JSybrandt,agatha,agatha/ml/hypothesis_predictor/test_predicate_util.py,https://github.com/JSybrandt/agatha
1899,JSybrandt,agatha,agatha/ml/hypothesis_predictor/hypothesis_predictor.py,https://github.com/JSybrandt/agatha
261,JSybrandt,agatha,tools/py_scripts/edge2vec_conversion/index_edge2vec_embeddings.py,https://github.com/JSybrandt/agatha
1761,JoeyHendricks,QuickPotato,QuickPotato/harness/testing.py,https://github.com/JoeyHendricks/QuickPotato
1157,JohnGiorgi,DeCLUTR,tests/test_encoder.py,https://github.com/JohnGiorgi/DeCLUTR
168,JohnGiorgi,DeCLUTR,tests/common/test_contrastive_utils.py,https://github.com/JohnGiorgi/DeCLUTR
1884,JohnGiorgi,DeCLUTR,tests/test_dataset_reader.py,https://github.com/JohnGiorgi/DeCLUTR
600,JohnGiorgi,DeCLUTR,tests/common/test_model_utils.py,https://github.com/JohnGiorgi/DeCLUTR
1276,JohnGiorgi,DeCLUTR,tests/common/test_util.py,https://github.com/JohnGiorgi/DeCLUTR
1579,JordanMicahBennett,Smart-Ai-Pothole-Detector------Powered-by-Tensorflow-TensorRT-on-Google-Colab-and-or-Jetson-Nano,code_cell:1,https://github.com/JordanMicahBennett/Smart-Ai-Pothole-Detector------Powered-by-Tensorflow-TensorRT-on-Google-Colab-and-or-Jetson-Nano
681,Julian,jsonschema,jsonschema/tests/fuzz_validate.py,https://github.com/Julian/jsonschema
2042,KenKundert,nestedtext,tests/test_random.py,https://github.com/KenKundert/nestedtext
357,Kharacternyk,barva,tests/strategies.py,https://github.com/Kharacternyk/barva
1882,Kharacternyk,barva,tests/utils/test_color.py,https://github.com/Kharacternyk/barva
1133,KissPeter,APIFuzzer,test/unit_test_composer.py,https://github.com/KissPeter/APIFuzzer
804,KissPeter,APIFuzzer,test/unit_test.py,https://github.com/KissPeter/APIFuzzer
1308,LeastAuthority,kubetop,src/kubetop/test/test_textrenderer.py,https://github.com/LeastAuthority/kubetop
1316,Lonero-Team,Decentralized-Internet,clusterpost/bigchaindb/tests/common/test_schema.py,https://github.com/Lonero-Team/Decentralized-Internet
901,Lothiraldan,swagger-fuzzer,swagger_fuzzer/swagger_helpers.py,https://github.com/Lothiraldan/swagger-fuzzer
1766,Lothiraldan,swagger-fuzzer,swagger_fuzzer/swagger_fuzzer.py,https://github.com/Lothiraldan/swagger-fuzzer
1285,Lothiraldan,swagger-fuzzer,swagger_fuzzer/strategy.py,https://github.com/Lothiraldan/swagger-fuzzer
56,MAVENSDC,cdflib,tests/test_epochs.py,https://github.com/MAVENSDC/cdflib
275,MBrouns,timeseers,tests/test_utils.py,https://github.com/MBrouns/timeseers
1042,MDAnalysis,mdanalysis,testsuite/MDAnalysisTests/formats/test_libdcd.py,https://github.com/MDAnalysis/mdanalysis
80,MFreidank,pysgmcmc,pysgmcmc/tests/bayesian_neural_network/test_invalid_inputs.py,https://github.com/MFreidank/pysgmcmc
122,MFreidank,pysgmcmc,pysgmcmc/tests/test_data_batches.py,https://github.com/MFreidank/pysgmcmc
2226,MIllionBenjamin,Blockchain-FinalProject-SupplyChainFinancialPlatform,python-sdk/eth_abi/tools/_strategies.py,https://github.com/MIllionBenjamin/Blockchain-FinalProject-SupplyChainFinancialPlatform
1820,MLY0813,FlashSwapForCofixAndUni,FlashSwapForCofixAndUni/venv/lib/python3.9/site-packages/web3/_utils/hypothesis.py,https://github.com/MLY0813/FlashSwapForCofixAndUni
44,MLY0813,FlashSwapForCofixAndUni,FlashSwapForCofixAndUni/venv/lib/python3.9/site-packages/eth_abi/tools/_strategies.py,https://github.com/MLY0813/FlashSwapForCofixAndUni
240,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/tests/io/parser/test_parse_dates.py,https://github.com/Manuel83/craftbeerpi4
295,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/tests/tseries/offsets/test_offsets_properties.py,https://github.com/Manuel83/craftbeerpi4
1495,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/tests/tslibs/test_ccalendar.py,https://github.com/Manuel83/craftbeerpi4
161,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/numpy/conftest.py,https://github.com/Manuel83/craftbeerpi4
874,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/tests/tseries/offsets/test_ticks.py,https://github.com/Manuel83/craftbeerpi4
232,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/util/_tester.py,https://github.com/Manuel83/craftbeerpi4
1517,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/numpy/lib/tests/test_function_base.py,https://github.com/Manuel83/craftbeerpi4
1735,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/pandas/conftest.py,https://github.com/Manuel83/craftbeerpi4
1786,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/numpy/core/tests/test_numeric.py,https://github.com/Manuel83/craftbeerpi4
747,Manuel83,craftbeerpi4,venv3/lib/python3.7/site-packages/numpy/core/tests/test_arrayprint.py,https://github.com/Manuel83/craftbeerpi4
1836,MarkWuNLP,SemanticMask,espnet/asr/asr_mix_utils.py,https://github.com/MarkWuNLP/SemanticMask
998,MartinThoma,algorithms,Python/hypothesis-pydantic/main.py,https://github.com/MartinThoma/algorithms
1069,MartinThoma,algorithms,medium/property-based-testing/test_is_mail.py,https://github.com/MartinThoma/algorithms
834,MartinThoma,mpu,tests/test_datastructures.py,https://github.com/MartinThoma/mpu
2188,MartinThoma,mpu,tests/test_geometry.py,https://github.com/MartinThoma/mpu
937,MartinThoma,mpu,tests/test_math.py,https://github.com/MartinThoma/mpu
1865,MartinThoma,mpu,tests/test_string.py,https://github.com/MartinThoma/mpu
1523,MartinThoma,algorithms,medium/property-based-testing/test_factorize_property.py,https://github.com/MartinThoma/algorithms
655,MartinThoma,algorithms,Python/pydantic-article/test_pydantic.py,https://github.com/MartinThoma/algorithms
890,MartinThoma,algorithms,mutmut-example/test_factorize.py,https://github.com/MartinThoma/algorithms
1785,MartinThoma,algorithms,medium/property-based-testing/test_two_way_functions.py,https://github.com/MartinThoma/algorithms
1464,MediaBrowser,plugin.video.emby,libraries/dateutil/test/property/test_parser_prop.py,https://github.com/MediaBrowser/plugin.video.emby
1599,MediaBrowser,plugin.video.emby,libraries/dateutil/test/property/test_isoparse_prop.py,https://github.com/MediaBrowser/plugin.video.emby
2135,Nike-Inc,signal_analog,tests/test_signal_analog.py,https://github.com/Nike-Inc/signal_analog
1100,Nike-Inc,signal_analog,tests/test_signal_analog_flow.py,https://github.com/Nike-Inc/signal_analog
1076,Nike-Inc,signal_analog,tests/test_signal_analog_combinators.py,https://github.com/Nike-Inc/signal_analog
769,Nike-Inc,signal_analog,tests/generators.py,https://github.com/Nike-Inc/signal_analog
896,NoRedInk,elm-ops-tooling,tests/test_elm_deps_sync.py,https://github.com/NoRedInk/elm-ops-tooling
1013,NoRedInk,elm-ops-tooling,tests/test_native_deps_sync.py,https://github.com/NoRedInk/elm-ops-tooling
589,OasisLMF,OasisPlatform,src/server/oasisapi/data_files/tests/test_data_files.py,https://github.com/OasisLMF/OasisPlatform
1118,OasisLMF,OasisPlatform,src/server/oasisapi/portfolios/tests/test_portfolio.py,https://github.com/OasisLMF/OasisPlatform
376,OasisLMF,OasisLMF,tests/utils/test_data.py,https://github.com/OasisLMF/OasisLMF
691,OasisLMF,OasisLMF,tests/utils/test_log.py,https://github.com/OasisLMF/OasisLMF
